# Extracted 1D spectrum from 1d_standard_0003881849-20230707-OSIRIS-OsirisLongSlitSpectroscopy.dat
# Wavelength Flux Variance
3599.7191070736794 10112.714874923986 18970.98115334002
3601.7711872491586 9921.436495539336 21013.058998804147
3603.8232674246383 10024.43606272465 21377.14264861976
3605.8753476001175 10315.888194050189 22147.176781776736
3607.927427775597 10207.582503356743 21479.32866751913
3609.9795079510764 10364.774474144295 22082.67927920803
3612.031588126556 10638.806873382719 22352.910339356982
3614.083668302035 10488.98822847973 22525.978659539025
3616.135748477515 10615.201553787529 22587.882461013127
3618.187828652994 10865.588604804474 23455.19205278675
3620.2399088284737 10983.21876867341 23466.77663412436
3622.291989003953 11022.411518385461 23906.89695966091
3624.3440691794326 11563.989874704395 25591.1109827873
3626.396149354912 11587.04710048484 24979.21034404896
3628.4482295303915 11818.008959623245 27128.275192033958
3630.5003097058707 11589.694001030273 25406.38646080655
3632.5523898813503 11936.588992362711 25842.044246812486
3634.6044700568295 12131.92740559106 27477.96102466482
3636.656550232309 12094.770623170978 27260.91615404939
3638.7086304077884 12544.299728821125 28436.8041275128
3640.760710583268 12652.847402157724 28687.801342944003
3642.8127907587473 12927.994750268444 29016.448784480228
3644.864870934227 12959.589161243572 29129.536801503462
3646.916951109706 13295.781338916257 30445.299309115566
3648.969031285186 13191.170580355638 30181.389212010155
3651.021111460665 13437.859415659585 31237.988330763932
3653.0731916361447 13606.274794000787 31184.19292267684
3655.125271811624 13454.928888973194 31381.823288234213
3657.177351987103 14165.761739223819 33564.30314178964
3659.2294321625827 13869.711124622856 31956.781118030598
3661.281512338062 14131.435567683817 33450.75691898854
3663.3335925135416 13823.746707561246 33546.59939569833
3665.385672689021 14431.091839699584 34355.747838527815
3667.4377528645005 14430.611813940744 35688.9694565066
3669.4898330399797 14560.803893412907 34126.17415106342
3671.5419132154593 14666.09774377079 35502.613274784104
3673.5939933909385 15174.76242346158 36325.615634490074
3675.646073566418 15186.715646887906 36207.37669821891
3677.6981537418974 15492.296558413575 38020.732724120506
3679.750233917377 15956.971847323783 40890.098843897766
3681.8023140928562 15788.23285587891 38406.582404550994
3683.854394268336 16001.847198644386 39537.13787854949
3685.906474443815 16035.70741765643 38514.025240649855
