# Extracted 1D spectrum from 1d_standard_0004942845-20250105-OSIRIS-OsirisLongSlitSpectroscopy.dat
# Wavelength Flux Variance
3597.2429465800337 7797.574857909073 11169.205408499109
3599.2964947427035 8089.344249487899 12621.475238659936
3601.350042905373 8252.454161704463 12812.43656175883
3603.4035910680427 7998.472710220612 12498.065297116786
3605.4571392307125 8169.206649865599 12633.507299498893
3607.510687393382 8272.29081167324 13110.182954866948
3609.5642355560517 8237.538518773772 12750.850381792452
3611.6177837187215 8473.084724222648 12927.46863197877
3613.671331881391 8555.353084100447 13609.10559502487
3615.7248800440607 8791.749903661124 13692.754173561632
3617.77842820673 8742.484828121102 13786.296513251411
3619.8319763694 8863.979250789773 13902.844220874009
3621.8855245320697 9130.06071381653 14427.472227200036
3623.939072694739 9165.024675709306 14754.305831377998
3625.992620857409 9282.256041406614 14683.943354004365
3628.0461690200787 9468.599276851055 15311.552948619985
3630.099717182748 9564.879089902788 15264.511583478372
3632.153265345418 9870.650951759795 15887.610839721507
3634.2068135080876 9779.243167189028 15603.547914880419
3636.260361670757 9807.949742221088 15800.238636463268
3638.313909833427 10213.03856233243 16513.829071911503
3640.3674579960966 10382.400194903568 16652.30541999287
3642.421006158766 10668.698644136197 17802.805583222376
3644.474554321436 10625.28938149895 17370.389849676914
3646.528102484105 10562.430339992277 17192.86184447703
3648.581650646775 10772.850673738509 17943.814975859153
3650.635198809445 10945.450374723232 18025.899663008408
3652.688746972114 10843.02203651789 17621.376840560482
3654.742295134784 11184.444097452195 18891.349367688003
3656.7958432974538 11631.933269371051 19889.51186361661
3658.849391460123 11292.9475648137 18932.587428593404
3660.902939622793 11622.18969959879 19938.044802161767
3662.9564877854627 11721.417731374877 20137.13562079934
3665.010035948132 11761.658974019614 20035.404695173384
3667.063584110802 11924.118877812087 20570.439206525487
3669.1171322734717 12077.834034964904 20205.327588573182
3671.170680436141 11886.033324393195 20275.01993641645
3673.224228598811 12486.634506190798 21793.70392380217
3675.2777767614807 12589.626420145189 21881.49804189932
3677.33132492415 12723.503885789969 22297.009601262675
3679.38487308682 12693.032556534246 21529.83634718729
3681.4384212494892 13283.052980953558 23838.242728290916
3683.491969412159 12990.568670210518 22695.558093419073
3685.545517574829 13221.874385282354 23433.285934855412
3687.599065737498 13427.392430160502 23458.40537447254
3689.652613900168 13403.645438229869 23877.13695265063
3691.706162062838 13630.665077289232 25164.04982828914
3693.759710225507 13707.069841083387 24250.12838501202
