# Pixel Table for instrument OSIRIS, disperser: R1000B
# order = 5
#
# Pixel    Wavelength [Å]
    35.53    3650.15
   307.21    4077.83
   468.10    4358.33
  1028.11    5460.73
  1172.32    5769.60
  1182.04    5790.66
  1210.39    5852.49
  1223.85    5881.90
  1252.53    5944.83
  1311.09    6074.34
  1320.92    6096.16
  1335.50    6128.45
  1341.97    6143.06
  1351.24    6163.59
  1397.04    6266.49
  1414.04    6304.79
  1427.17    6334.43
  1457.13    6402.25
  1514.50    6532.88
  1543.36    6598.95
  1594.69    6717.04
  1686.25    6929.47
  1701.68    6965.43
  1790.62    7173.94
  1820.84    7245.17
  1879.50    7383.98
  1984.92    7635.11
