# Pixel Table for instrument OSIRIS, disperser: R1000B
# order = 6
#
# Pixel    Wavelength [Å]
    35.51    3651.19
   288.70    4047.71
   468.10    4359.55
  1028.12    5462.25
  1172.32    5771.20
  1182.04    5792.27
  1210.40    5854.11
  1223.85    5883.53
  1252.52    5946.48
  1266.43    5977.19
  1311.08    6076.02
  1320.91    6097.85
  1341.95    6144.76
  1351.25    6165.30
  1397.03    6268.23
  1427.16    6336.18
  1457.13    6404.02
  1502.96    6508.33
  1543.36    6600.78
  1577.88    6680.12
  1594.70    6718.90
  1686.26    6931.38
  1730.31    7034.35
  1790.63    7175.92
  1820.82    7247.16
  1984.94    7637.21
  2022.14    7726.33
