# Pixel Table for instrument OSIRIS, disperser: R1000B
# order = 5
#
# Pixel    Wavelength [Å]
   199.11    5460.73
   340.78    5769.60
   350.20    5790.66
   377.54    5852.49
   390.50    5881.90
   418.10    5944.83
   431.42    5974.63
   474.21    6074.34
   483.51    6096.16
   503.56    6143.06
   512.34    6163.59
   555.86    6266.49
   584.36    6334.43
   612.57    6402.25
   655.66    6506.53
   693.51    6598.95
   725.73    6678.28
   741.42    6717.04
   826.39    6929.47
   867.05    7032.41
   922.47    7173.94
   950.16    7245.17
  1099.46    7635.11
  1133.04    7723.76
  1321.44    8231.64
  1374.74    8377.61
  1534.15    8819.41
  1581.54    8952.25
  1614.66    9045.45
  1656.15    9162.65
  1879.06    9799.70
  1921.83    9923.19
