# Pixel Table for instrument OSIRIS, disperser: R2500I
# order = 3
#
# Pixel    Wavelength [Å]
    69.90    7383.98
   152.76    7488.87
   189.49    7535.77
   266.75    7635.11
   335.35    7724.21
   505.50    7948.18
   549.16    8006.16
   555.57    8014.79
   606.14    8082.46
   630.62    8115.31
   646.26    8136.40
   716.75    8231.64
   752.46    8280.12
   823.94    8377.61
   858.33    8424.65
   909.80    8495.36
   928.74    8521.44
   979.31    8591.26
  1024.95    8654.38
  1143.46    8819.41
  1168.12    8853.87
  1238.34    8952.25
  1304.66    9045.45
  1359.68    9122.97
  1387.80    9162.65
  1736.68    9657.79
  1836.27    9799.70
  1922.90    9923.19
