# Pixel Table for instrument ALFOSC, disperser: Grating #4
# order = 5
#
# Pixel    Wavelength [Å]
   472.18    3889.75
   497.55    3965.85
   517.84    4027.33
   633.34    4389.16
   659.18    4472.73
   732.92    4714.46
   795.59    4923.30
   823.28    5017.07
   832.57    5049.15
  1071.78    5877.25
  1091.31    5946.48
  1115.35    6031.67
  1127.83    6076.02
  1133.99    6097.85
  1147.20    6144.76
  1152.34    6165.30
  1168.05    6219.00
  1181.83    6268.23
  1200.83    6336.18
  1219.71    6404.02
  1248.81    6508.33
  1256.13    6534.69
  1296.47    6679.99
  1307.27    6718.90
  1365.85    6931.38
  1394.14    7034.35
  1403.18    7067.14
  1432.98    7175.92
  1452.47    7247.16
  1462.34    7283.36
  1505.36    7440.95
  1518.93    7490.93
  1738.24    8302.61
  1758.88    8379.91
  1790.41    8497.69
  1815.99    8593.62
