# Pixel Table for instrument ALFOSC, disperser: Grating #4
# order = 5
#
# Pixel    Wavelength [Å]
   235.81    3889.75
   248.47    3965.85
   258.56    4027.33
   329.30    4472.73
   397.66    4923.30
   411.39    5017.07
   535.71    5877.25
   545.46    5946.48
   573.29    6144.76
   590.55    6268.23
   609.48    6404.02
   624.11    6508.33
   647.98    6679.99
   682.64    6931.38
   696.82    7034.35
   725.97    7247.16
   752.39    7440.95
   879.17    8379.91
   894.96    8497.69
   981.64    9151.19
