# Pixel Table for instrument ALFOSC, disperser: Grating #4
# order = 3
#
# Pixel    Wavelength [Å]
   467.01    3889.75
   492.29    3965.85
   512.57    4027.33
   628.24    4389.16
   653.96    4472.73
   727.67    4714.46
   790.37    4923.30
   818.05    5017.07
  1066.57    5877.25
  1086.07    5946.48
  1110.12    6031.67
  1122.54    6076.02
  1128.76    6097.85
  1141.96    6144.76
  1147.89    6165.30
  1162.81    6219.00
  1176.59    6268.23
  1195.60    6336.18
  1214.52    6404.02
  1243.59    6508.33
  1251.53    6534.69
  1291.24    6679.99
  1301.99    6718.90
  1360.64    6931.38
  1388.92    7034.35
  1397.91    7067.14
  1427.77    7175.92
  1447.26    7247.16
  1456.98    7283.36
  1500.15    7440.95
  1513.73    7490.93
  1733.05    8302.61
  1753.72    8379.91
  1785.27    8497.69
  1810.84    8593.62
