# Pixel Table for instrument ALFOSC, disperser: Grating #19
# order = 3
#
# Pixel    Wavelength [Å]
   139.53    4481.81
   154.23    4510.73
   182.89    4545.05
   211.49    4579.35
   220.30    4589.90
   236.72    4609.57
   276.93    4657.90
   333.55    4703.99
   365.76    4764.86
   460.68    4879.86
   530.93    4965.08
   573.88    5017.16
   721.85    5187.75
   748.57    5231.16
   839.86    5343.58
  1036.30    5587.03
  1175.28    5760.55
  1390.94    6032.13
  1509.52    6182.62
  1724.18    6457.28
  1932.95    6752.83
  1952.76    6752.83
  2043.01    6937.66
